City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
130,Kudahuvadhoo,MV,2.6708,72.8944,84.13,73,65,20.07,broken clouds
131,Turukhansk,RU,65.8167,87.9833,34.68,78,73,8.88,broken clouds
132,Matara,LK,5.9485,80.5353,79.03,89,76,13.33,broken clouds
133,Alindao,CF,5.0267,21.2088,90.14,50,100,6.11,overcast clouds
134,Bolobo,CD,-2.1667,16.2333,86.2,52,92,1.3,overcast clouds
135,Crotone,IT,39.0851,17.1178,73.35,49,0,7.43,clear sky
136,Kodiak,US,57.79,-152.4072,45.91,87,90,9.22,light rain
137,Danesti,RO,46.5167,25.75,58.5,56,94,6.11,overcast clouds
138,Mount Isa,AU,-20.7333,139.5,60.57,31,0,9.22,clear sky
139,Vikulovo,RU,56.8167,70.6107,67.66,66,19,8.84,few clouds
140,Morro Bay,US,35.3658,-120.8499,54.48,86,96,3.0,overcast clouds
141,Dawlatabad,AF,36.4141,64.9053,94.55,13,0,3.18,clear sky
142,Tessalit,ML,20.1986,1.0114,109.0,3,45,12.48,scattered clouds
143,Acapulco,MX,16.8634,-99.8901,85.82,66,75,1.99,broken clouds
144,Saskylakh,RU,71.9167,114.0833,30.9,94,12,9.06,few clouds
145,Huanren,CN,41.2647,125.3667,48.29,80,6,2.15,clear sky
146,East London,ZA,-33.0153,27.9116,65.34,68,0,14.97,clear sky
147,Manali,IN,13.1667,80.2667,88.07,82,26,12.71,scattered clouds
148,Aksarka,RU,66.5606,67.7975,53.19,75,100,12.3,light rain
149,Buraydah,SA,26.326,43.975,106.25,7,9,12.33,clear sky
150,Coquimbo,CL,-29.9533,-71.3436,56.93,82,0,4.76,clear sky
151,Ojiya,JP,37.3,138.8,61.14,94,100,4.16,overcast clouds
152,Carnarvon,AU,-24.8667,113.6333,68.07,77,90,12.66,overcast clouds
153,Ndele,CF,8.4109,20.6473,94.12,29,90,4.38,overcast clouds
154,Xinxiang,CN,35.3089,113.8672,76.87,30,21,12.28,light rain
155,Lompoc,US,34.6391,-120.4579,61.57,76,90,6.91,overcast clouds
156,Touros,BR,-5.1989,-35.4608,86.9,66,56,15.73,broken clouds
157,Souillac,MU,-20.5167,57.5167,76.35,88,75,6.33,light rain
158,Chokurdakh,RU,70.6333,147.9167,44.44,62,11,9.95,few clouds
159,Butaritari,KI,3.0707,172.7902,82.09,81,100,15.39,light rain
160,Jalu,LY,29.0331,21.5482,105.51,10,2,1.92,clear sky
161,Barabai,ID,-2.5833,115.3833,75.43,96,67,1.14,broken clouds
162,Sitka,US,57.0531,-135.33,48.09,76,90,11.5,light rain
163,Matamoros,MX,25.5333,-103.25,84.31,37,1,3.15,clear sky
164,Kungurtug,RU,50.5994,97.5228,37.31,95,86,3.2,overcast clouds
165,Pisco,PE,-13.7,-76.2167,66.25,88,90,6.91,overcast clouds
166,Kovdor,RU,67.5662,30.4758,43.75,41,100,10.2,overcast clouds
167,Teguldet,RU,57.3064,88.1667,38.8,56,56,3.24,broken clouds
168,Saint-Denis,FR,48.9167,2.3333,74.23,42,0,5.99,clear sky
169,Kaitangata,NZ,-46.2817,169.8464,49.91,91,100,10.92,moderate rain
170,Namibe,AO,-15.1961,12.1522,80.26,54,4,8.28,clear sky
171,Vila Franca Do Campo,PT,37.7167,-25.4333,64.81,66,77,2.33,broken clouds
172,Mayo,US,38.8876,-76.5119,54.34,94,90,15.99,light rain
173,Xinyu,CN,27.8043,114.9334,66.2,96,100,3.29,overcast clouds
174,Kandrian,PG,-6.2167,149.55,78.62,85,98,11.43,overcast clouds
175,Gizo,SB,-8.103,156.8419,76.8,91,100,3.6,moderate rain
176,Belgrade,RS,44.804,20.4651,71.46,30,0,3.0,clear sky
177,Bethanien,NA,-26.502,17.1583,74.16,15,25,8.95,scattered clouds
178,Trelew,AR,-43.249,-65.3051,46.35,46,0,24.49,clear sky
179,Zhanakorgan,KZ,43.9098,67.2495,83.8,33,100,12.33,moderate rain
180,Airai,TL,-8.9266,125.4092,58.35,93,84,3.06,broken clouds
181,Kargasok,RU,59.0556,80.8572,48.27,54,44,4.9,scattered clouds
182,Hohhot,CN,40.8106,111.6522,69.26,40,40,12.35,light rain
183,Hofn,IS,64.2539,-15.2082,46.71,92,70,20.89,broken clouds
184,General Bravo,MX,25.8,-99.1667,86.34,58,23,15.21,few clouds
185,Tucson,US,32.2217,-110.9265,86.02,14,1,1.99,clear sky
186,Yar-Sale,RU,66.8333,70.8333,50.0,72,100,12.66,moderate rain
187,Buala,SB,-8.145,159.5921,76.82,88,100,4.43,overcast clouds
188,Samarai,PG,-10.6167,150.6667,78.08,73,96,12.3,overcast clouds
189,Mogadishu,SO,2.0371,45.3438,79.34,80,26,12.68,scattered clouds
190,Carballo,ES,43.213,-8.691,72.01,77,68,8.77,broken clouds
191,Bambous Virieux,MU,-20.3428,57.7575,76.21,85,29,4.27,scattered clouds
192,Belaya Gora,RU,68.5333,146.4167,48.94,52,15,9.17,few clouds
193,Samana,DO,19.2056,-69.3369,86.22,70,20,6.91,few clouds
194,Mogadouro,PT,41.3403,-6.7119,83.79,26,0,8.43,clear sky
195,Ponta Do Sol,PT,32.6667,-17.1,72.23,80,46,4.52,scattered clouds
196,Svetlogorsk,BY,52.6333,29.7333,61.74,79,36,10.67,moderate rain
197,Bengkulu,ID,-3.8004,102.2655,75.69,90,100,5.88,overcast clouds
198,Geraldton,AU,-28.7667,114.6,64.13,67,75,15.14,broken clouds
199,Manggar,ID,-2.8833,108.2667,80.11,80,99,2.8,overcast clouds
200,Louis Trichardt,ZA,-23.0439,29.9032,71.31,18,0,1.21,clear sky
201,Dalhousie,IN,32.5333,75.9833,60.1,60,44,11.27,scattered clouds
202,Pittsburgh,US,40.4406,-79.9959,52.39,95,90,3.0,light rain
203,Pangkalanbuun,ID,-2.6833,111.6167,74.26,98,100,2.44,overcast clouds
204,Yatou,CN,37.15,122.3833,56.08,94,3,6.76,clear sky
205,Inverell,AU,-29.7833,151.1167,42.15,77,65,4.0,broken clouds
206,Salinopolis,BR,-0.6136,-47.3561,85.08,69,71,8.97,broken clouds
207,Ust-Shonosha,RU,61.1531,41.343,46.4,57,99,8.95,overcast clouds
208,Riyadh,SA,24.6877,46.7219,107.74,9,0,8.05,clear sky
209,Cockburn Town,TC,21.4612,-71.1419,79.18,76,12,13.58,few clouds
210,Launceston,AU,-41.45,147.1667,34.16,93,69,1.01,broken clouds
211,Tiksi,RU,71.6872,128.8694,30.27,98,95,7.4,overcast clouds
212,Ilulissat,GL,69.2167,-51.1,62.62,23,75,13.8,broken clouds
213,Fortuna,US,40.5982,-124.1573,51.93,66,90,1.99,overcast clouds
214,Sompeta,IN,18.9333,84.6,85.08,76,63,7.2,broken clouds
215,Manokwari,ID,-0.8667,134.0833,79.86,82,100,3.06,overcast clouds
216,Flinders,AU,-34.5833,150.8552,57.2,67,100,5.01,overcast clouds
217,Progreso,MX,21.2833,-89.6667,84.31,59,3,5.21,clear sky
218,El Sauzal,MX,31.9,-116.6833,59.41,83,38,5.26,scattered clouds
219,Valuyki,RU,50.2035,38.1067,71.65,76,77,6.24,broken clouds
220,Niksic,ME,42.7731,18.9445,71.76,54,46,4.14,scattered clouds
221,Beaufort,MY,5.3473,115.7455,80.76,97,100,2.66,overcast clouds
222,Pahrump,US,36.2083,-115.9839,81.05,19,70,1.01,broken clouds
223,Mingshui,CN,36.7167,117.5,61.57,63,22,5.1,light rain
224,Karratha,AU,-20.7377,116.8463,71.33,77,100,6.38,overcast clouds
225,Lebu,CL,-37.6167,-73.65,52.03,77,100,4.63,overcast clouds
226,Ixtapa,MX,20.7,-105.2,82.22,74,1,3.44,clear sky
227,Xining,CN,36.6167,101.7667,56.84,52,56,4.41,broken clouds
228,Ostrovnoy,RU,68.0531,39.5131,36.18,74,93,21.12,overcast clouds
229,Jesup,US,31.6074,-81.8854,83.03,73,90,6.91,overcast clouds
230,Korla,CN,41.7597,86.1469,80.58,24,84,15.86,broken clouds
231,Tsabong,BW,-26.0217,22.401,69.8,23,58,8.32,broken clouds
232,Pemangkat,ID,1.1667,108.9667,78.22,83,100,6.44,overcast clouds
233,Port Jervis,US,41.3751,-74.6927,47.59,65,100,9.8,light rain
234,Tahoua,NE,14.8888,5.2692,107.58,6,0,6.91,clear sky
235,Thompson,CA,55.7435,-97.8558,62.94,48,5,12.88,clear sky
236,Aden,YE,12.7794,45.0367,89.49,61,53,4.59,broken clouds
237,Bayeux,BR,-7.125,-34.9322,84.83,61,75,14.97,broken clouds
238,Havoysund,NO,70.9963,24.6622,41.88,81,97,19.22,overcast clouds
239,Sorland,NO,67.667,12.6934,44.98,86,38,7.31,scattered clouds
240,Issia,CI,6.4922,-6.5856,89.85,51,96,2.44,overcast clouds
241,Nyrob,RU,60.733,56.7202,59.38,77,99,5.99,overcast clouds
242,Sol-Iletsk,RU,51.1631,54.9918,77.05,49,17,11.21,light rain
