City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
190,Carballo,ES,72.01,broken clouds,43.213,-8.691,Pazo do Souto
191,Bambous Virieux,MU,76.21,scattered clouds,-20.3428,57.7575,Casa Tia Villa
195,Ponta Do Sol,PT,72.23,scattered clouds,32.6667,-17.1,Hotel do Campo
196,Svetlogorsk,BY,61.74,moderate rain,52.6333,29.7333,Hotel Svetlogorsk JBIK
197,Bengkulu,ID,75.69,overcast clouds,-3.8004,102.2655,Grage Hotel Bengkulu
198,Geraldton,AU,64.13,broken clouds,-28.7667,114.6,Broadwater Mariner Resort
200,Louis Trichardt,ZA,71.31,clear sky,-23.0439,29.9032,139 on Munnik Guest House
201,Dalhousie,IN,60.1,scattered clouds,32.5333,75.9833,Hotel Mount View
202,Pittsburgh,US,52.39,light rain,40.4406,-79.9959,DoubleTree by Hilton Hotel & Suites Pittsburgh Downtown
203,Pangkalanbuun,ID,74.26,overcast clouds,-2.6833,111.6167,Grand Kecubung Hotel
204,Yatou,CN,56.08,clear sky,37.15,122.3833,GreenTree Hotel Rongcheng Bus Station
205,Inverell,AU,42.15,broken clouds,-29.7833,151.1167,Sapphire City Motor Inn
209,Cockburn Town,TC,79.18,few clouds,21.4612,-71.1419,Osprey Beach Hotel
210,Launceston,AU,34.16,broken clouds,-41.45,147.1667,Hotel Grand Chancellor Launceston
211,Tiksi,RU,30.27,overcast clouds,71.6872,128.8694,Arktika
212,Ilulissat,GL,62.62,broken clouds,69.2167,-51.1,Hotel Arctic
213,Fortuna,US,51.93,overcast clouds,40.5982,-124.1573,Super 8 by Wyndham Fortuna
215,Manokwari,ID,79.86,overcast clouds,-0.8667,134.0833,Swiss Belhotel Manokwari
216,Flinders,AU,57.2,overcast clouds,-34.5833,150.8552,Shellharbour Resort & Conference Centre
218,El Sauzal,MX,59.41,scattered clouds,31.9,-116.6833,La Rosas Hotel & Spa
219,Valuyki,RU,71.65,broken clouds,50.2035,38.1067,Kak Doma Inn
220,Niksic,ME,71.76,scattered clouds,42.7731,18.9445,Hotel Trebjesa
223,Mingshui,CN,61.57,light rain,36.7167,117.5,Grace Inn Zhangqiu Station Avenue Branch
224,Karratha,AU,71.33,overcast clouds,-20.7377,116.8463,ibis Styles Karratha
225,Lebu,CL,52.03,overcast clouds,-37.6167,-73.65,Hostal Las Lilas
227,Xining,CN,56.84,broken clouds,36.6167,101.7667,Super Leisure Hotel
231,Tsabong,BW,69.8,broken clouds,-26.0217,22.401,Springbok Motel
232,Pemangkat,ID,78.22,overcast clouds,1.1667,108.9667,Ramah Kost KITA
233,Port Jervis,US,47.59,light rain,41.3751,-74.6927,Hampton Inn Matamoras/Milford
235,Thompson,CA,62.94,clear sky,55.7435,-97.8558,Burntwood Hotel
238,Havoysund,NO,41.88,overcast clouds,70.9963,24.6622,Arctic View Glamping & Restaurant
239,Sorland,NO,44.98,scattered clouds,67.667,12.6934,Sjybrygga fiskecamp
241,Nyrob,RU,59.38,overcast clouds,60.733000000000004,56.7202,Gostinitsa
242,Sol-Iletsk,RU,77.05,light rain,51.1631,54.9918,Raduzhnaya
243,Faanui,PF,79.07,broken clouds,-16.4833,-151.75,Bora-Bora Pearl Beach Resort & Spa
245,Kailua,US,74.14,few clouds,21.4022,-157.7394,Sheffield House Bed & Breakfast
246,Necochea,AR,50.04,overcast clouds,-38.5473,-58.7368,dyd -mar Hotel
247,Newton,US,48.09,light rain,42.336999999999996,-71.2092,Sheraton Boston Needham Hotel
248,Lincoln,US,55.65,overcast clouds,40.8,-96.667,Courtyard by Marriott Lincoln Downtown/Haymarket
249,Winton,US,78.51,clear sky,37.3894,-120.6133,Applegate Inn
250,Henties Bay,,62.85,scattered clouds,-22.116,14.2845,Fishermans Guest House
253,Chifeng,CN,61.61,broken clouds,42.2683,118.9636,Junyu Tiancheng Hotel
254,Bundaberg,AU,58.21,overcast clouds,-24.85,152.35,Takalvan Motel
255,Youghal,IE,63.59,broken clouds,51.95,-7.8506,Quality Hotel and Leisure Centre Youghal
257,Saint-Francois,FR,74.64,clear sky,46.4154,3.9054,Manoir Du Bonheur
258,Jumla,NP,56.28,overcast clouds,29.2747,82.1838,"अन्नी घर, जुम्ला - Anni Ghar"
259,Sayyan,YE,75.18,broken clouds,15.1718,44.3244,متنزه و بحيرة سيان
261,Salamiyah,SY,77.45,clear sky,35.0113,37.0532,Gondolas Forum grandchildren and grandparents
262,Ayan,RU,36.34,broken clouds,56.45,138.1667,Gostinitsa
263,Baturaja,ID,73.8,overcast clouds,-4.1333,104.1667,"HOTEL Sekar Sunja, Baturaja Timur, Ogan Komering Ulu"
266,Haines Junction,CA,44.55,scattered clouds,60.7522,-137.5108,Parkside Inn
268,Wetaskiwin,CA,56.12,scattered clouds,52.9668,-113.3687,Best Western Wayside Inn
270,Naze,JP,68.11,light rain,28.3667,129.4833,奄美ポートタワーホテル
272,Natchez,US,74.64,scattered clouds,31.5604,-91.4032,Hampton Inn & Suites Natchez
